Id;ActivityHour;Date;Hour;TotalIntensity;AverageIntensity
1503960366;5/10/2016 5:00;5/10/2016 0:00;5:00:00 a. m.;0;0
1503960366;5/10/2016 6:00;5/10/2016 0:00;6:00:00 a. m.;0;0
1503960366;5/10/2016 7:00;5/10/2016 0:00;7:00:00 a. m.;4;0.066667
1503960366;5/10/2016 8:00;5/10/2016 0:00;8:00:00 a. m.;11;0.183333
1503960366;5/10/2016 9:00;5/10/2016 0:00;9:00:00 a. m.;24;0.4
1503960366;5/10/2016 10:00;5/10/2016 0:00;10:00:00 a. m.;16;0.266667
1503960366;5/10/2016 11:00;5/10/2016 0:00;11:00:00 a. m.;35;0.583333
1503960366;5/10/2016 12:00;5/10/2016 0:00;12:00:00 p. m.;6;0.1
1503960366;5/10/2016 13:00;5/10/2016 0:00;1:00:00 p. m.;14;0.233333
1503960366;5/10/2016 14:00;5/10/2016 0:00;2:00:00 p. m.;8;0.133333
1503960366;5/10/2016 15:00;5/10/2016 0:00;3:00:00 p. m.;36;0.6
1503960366;5/10/2016 16:00;5/10/2016 0:00;4:00:00 p. m.;22;0.366667
1503960366;5/10/2016 17:00;5/10/2016 0:00;5:00:00 p. m.;17;0.283333
1503960366;5/10/2016 18:00;5/10/2016 0:00;6:00:00 p. m.;69;1.15
1503960366;5/10/2016 19:00;5/10/2016 0:00;7:00:00 p. m.;51;0.85
1503960366;5/10/2016 20:00;5/10/2016 0:00;8:00:00 p. m.;73;1.216.667
1503960366;5/10/2016 21:00;5/10/2016 0:00;9:00:00 p. m.;19;0.316667
1503960366;5/10/2016 22:00;5/10/2016 0:00;10:00:00 p. m.;0;0
1503960366;5/10/2016 23:00;5/10/2016 0:00;11:00:00 p. m.;3;0.05
1503960366;5/11/2016 0:00;5/11/2016 0:00;12:00:00 a. m.;14;0.233333
1503960366;5/11/2016 1:00;5/11/2016 0:00;1:00:00 a. m.;4;0.066667
1503960366;5/11/2016 2:00;5/11/2016 0:00;2:00:00 a. m.;4;0.066667
1503960366;5/11/2016 3:00;5/11/2016 0:00;3:00:00 a. m.;1;0.016667
1503960366;5/11/2016 4:00;5/11/2016 0:00;4:00:00 a. m.;0;0
1503960366;5/11/2016 5:00;5/11/2016 0:00;5:00:00 a. m.;0;0
